DATUM,CAS,cas,SUM_of_MNOZSTVO,sln_trv,t_pr,tlak_pr,vie_vp_rych,vlh_pr,zra_uhrn
01-08-13,0,0:00:00,13335.6295,0,131,9393,11,89,0
01-08-13,15,0:00:00,13375.40134,0,131,9393,11,89,0
01-08-13,30,0:00:00,13399.13631,0,131,9393,11,89,0
01-08-13,45,0:00:00,13546.72501,0,131,9393,11,89,0
01-08-13,60,1:00:00,13611.87356,0,129,9393,4,90,0
01-08-13,75,1:00:00,13398.16477,0,129,9393,4,90,0
01-08-13,90,1:00:00,13505.72641,0,129,9393,4,90,0
01-08-13,105,1:00:00,13385.48555,0,129,9393,4,90,0
01-08-13,120,2:00:00,13201.43257,0,123,9395,6,90,0
01-08-13,135,2:00:00,13538.80954,0,123,9395,6,90,0
01-08-13,150,2:00:00,13392.85296,0,123,9395,6,90,0
01-08-13,165,2:00:00,13381.77522,0,123,9395,6,90,0
01-08-13,180,3:00:00,13558.66514,0,117,9397,14,92,0
01-08-13,195,3:00:00,13675.90937,0,117,9397,14,92,0
01-08-13,210,3:00:00,13595.36533,0,117,9397,14,92,0
01-08-13,225,3:00:00,13797.26081,0,117,9397,14,92,0
01-08-13,240,4:00:00,14328.06053,0,115,9400,12,92,0
01-08-13,255,4:00:00,16463.46588,0,115,9400,12,92,0
01-08-13,270,4:00:00,17924.57157,0,115,9400,12,92,0
01-08-13,285,4:00:00,18720.77117,0,115,9400,12,92,0
01-08-13,300,5:00:00,19549.94915,0,113,9402,4,91,0
01-08-13,315,5:00:00,20031.79156,0,113,9402,4,91,0
01-08-13,330,5:00:00,20410.86536,0,113,9402,4,91,0
01-08-13,345,5:00:00,20535.58623,0,113,9402,4,91,0
01-08-13,360,6:00:00,21637.86703,417,139,9405,5,90,0
01-08-13,375,6:00:00,21792.47785,417,139,9405,5,90,0
01-08-13,390,6:00:00,21809.82085,417,139,9405,5,90,0
01-08-13,405,6:00:00,21789.24211,417,139,9405,5,90,0
01-08-13,420,7:00:00,21932.96599,585,181,9406,5,76,0
01-08-13,435,7:00:00,22078.15933,585,181,9406,5,76,0
01-08-13,450,7:00:00,22457.85003,585,181,9406,5,76,0
01-08-13,465,7:00:00,22481.68482,585,181,9406,5,76,0
01-08-13,480,8:00:00,22478.11106,572,200,9406,13,66,0
01-08-13,495,8:00:00,22674.30177,572,200,9406,13,66,0
01-08-13,510,8:00:00,22714.5874,572,200,9406,13,66,0
01-08-13,525,8:00:00,21922.63465,572,200,9406,13,66,0
01-08-13,540,9:00:00,21423.07744,287,207,9405,11,59,0
01-08-13,555,9:00:00,21287.51283,287,207,9405,11,59,0
01-08-13,570,9:00:00,21543.10041,287,207,9405,11,59,0
01-08-13,585,9:00:00,21384.69955,287,207,9405,11,59,0
